Title;Authors;Publication;Volume;Number;Pages;Year;Publisher;Search Query;Duplicate removal;I1 (SA Method);I2 (software only);I3 (english);I4 (available);I5 (peer reviewed);E1 (Removal of secondary study);E2 (Unavailable);Included for data extraction;;;;
Automating software architecture assessment;"Van Gurp, Jilles; Bosch, Jan;";Proc. of the 9th Nordic Workshop on Programming and Software Development Environment Research. Lillchammer;;;;2000;Citeseer;SQ1;;;;x;x;x;;;;I1;"It either:
• Presents one or more new SA evaluation method
OR
• Presents an improvement in one or more existing
SA evaluation method OR
• Presents a combination usage of multiple SA
evaluation methods OR
• Presents application of a SA evaluation method,
its modification or combination on a system";;
Architecture-level modifiability analysis (ALMA);"Bengtsson, PerOlof; Lassing, Nico; Bosch, Jan; van Vliet, Hans;";Journal of Systems and Software;69;1-2;129-147;2004;Elsevier;SQ1;;x;x;x;x;x;;;x;I2;It presents evaluation of only Software Architecture;;
Evaluation of software architecture quality attribute for an internet banking system;"Meiappane, A; Chithra, B; Venkataesan, Prasanna;";arXiv preprint arXiv:1312.2342;;;;2013;;SQ1;;;;x;x;x;;;;I3;Medium of language is English;;
Making software architecture and agile approaches work together: Foundations and approaches;"Babar, Muhammad Ali;";Agile Software Architecture;;;1-22;2014;Elsevier;SQ1;;;;x;x;x;;;;I4;Full text is available;;
Towards a distributed software architecture evaluation process: a preliminary assessment;"Babar, Muhammed Ali; Kitchenham, Barbara; Gorton, Ian;";Proceedings of the 28th international conference on Software engineering;;;845-848;2006;;SQ1;;;;x;x;x;;;;I5;"It is a peer-reviewed conference paper, workshop
paper, book chapter or journal article (Other studies
like reports, magazine articles, student thesis etc.
are excluded)";;
Hierarchical clustering for software architecture recovery;"Maqbool, Onaiza; Babri, Haroon;";IEEE Transactions on Software Engineering;33;11;759-780;2007;IEEE;SQ1;;;;x;x;x;;;;E1;"It is a secondary study i.e. a literature review,
mapping study, or survey";;
Network-centric military system architecture assessment methodology;"Balci, Osman; Ormsby, William F;";International Journal of System of Systems Engineering;1;1-2;271-292;2008;Inderscience Publishers;SQ1;;;;x;x;x;;;;E2;Full text is unavailable;;
Software architecture modeling and reliability evaluation based on petri net;"Zhang, Chi; Ma, Yunyun; Wang, Xiaohua; Wang, Ruixue;";2017 International Conference on Dependable Systems and Their Applications (DSA);;;51-56;2017;IEEE;SQ1;;;;x;x;x;;;;;;;
Empirical Assessment in Software Architecture: Importance and Challenges;"Babar, Muhammad Ali; Lago, Patricia; Avgeriou, Paris;";Wicsa7 Workshop: Empirical Assessment in Software Architecture;;;;2009;;SQ1;;;;x;x;x;;;;;;;
Cyclomatic Complexity Metrics for Software Architecture Maintenance Risk Assessment;"Tombe, RONALD; Okeyo, G; Kimani, S;";International Journal of Computer Science and Mobile Computing;3;11;89-101;2014;;SQ1;;;;x;x;x;;;;;;;
A community of learners approach to software architecture education;"De Boer, Remco C; Farenhorst, Rik; Van Vliet, Hans;";2009 22nd Conference on Software Engineering Education and Training;;;190-197;2009;IEEE;SQ1;;;;x;x;x;;;;;;;
AVIM—A contactless system for infant data acquisition and analysis: Software architecture and first results;"Orlandi, Silvia; Guzzetta, Andrea; Bandini, Andrea; Belmonti, Vittorio; Barbagallo, Salvatore D; Tealdi, Gessica; Mazzotti, Sara; Scattoni, Maria Luisa; Manfredi, Claudia;";Biomedical Signal Processing and Control;20;;85-99;2015;Elsevier;SQ1;;;;x;x;x;;;;;;;
Focus: A light-weight, incremental approach to software architecture recovery and evolution;"Ding, Lei; Medvidovic, Nenad;";Proceedings Working IEEE/IFIP Conference on Software Architecture;;;191-200;2001;IEEE;SQ1;;;;x;x;x;;;;;;;
Software Architecture Erosion: Impacts, Causes, and Management.;"Andrews, Sharon; Sheppard, Mark;";International Journal of Computer Science and Security (IJCSS);14;2;82-94;2020;Computer Science Journals;SQ1;;;;x;x;x;;;;;;;
Model-driven approach to software architecture design;"Perovich, Daniel; Bastarrica, Maria Cecilia; Rojas, Cristian;";2009 ICSE Workshop on Sharing and Reusing Architectural Knowledge;;;1-8;2009;IEEE;SQ1;;;;x;x;x;;;;;;;
Hardware and software architecture for power quality analysis;"Lima, Ricardo; Quiroga, Damian; Reineri, Claudio; Magnago, Fernando;";Computers & Electrical Engineering;34;6;520-530;2008;Elsevier;SQ1;;;;x;x;x;;;;;;;
Software architecture knowledge management;"Babar, Muhammad Ali; Dingsøyr, Torgeir; Lago, Patricia; Van Vliet, Hans;";;;;;2009;Springer;SQ1;;;;x;x;x;;;;;;;
Software architecture-centric methods and agile development;"Nord, Robert L; Tomayko, James E;";IEEE software;23;2;47-53;2006;IEEE;SQ1;;;;x;x;x;;;;;;;
Exploring the benefits of the combination of a software architecture analysis and a usability evaluation of a mobile application;"Biel, Bettina; Grill, Thomas; Gruhn, Volker;";Journal of Systems and Software;83;11;2031-2044;2010;Elsevier;SQ1;;;;x;x;x;;;;;;;
Using software architecture risk assessment for product line architectures;"Abdelmoez, WM; Jalali, AH; Shaik, K; Menzies, T; Ammar, HH;";Proceedings of. International Conference On Communication, Computer And Power (Icccp'09) Muscat;;;1-8;2009;;SQ1;;x;x;x;x;x;;;x;;;;
Software architecture evolution through evolvability analysis;"Breivold, Hongyu Pei; Crnkovic, Ivica; Larsson, Magnus;";Journal of Systems and Software;85;11;2574-2592;2012;Elsevier;SQ1;;x;x;x;x;x;;;x;;;;
Analyzing software architectures for modifiability;"Bengtsson, PerOlof; Lassing, Nico; Bosch, Jan; Vliet, Hans van;";;;;;2000;;SQ1;;;;x;x;;;;;;;;
Software architecture risk analysis (SARA): A methodology to assess security risks in software architectures, and an application;"Painchaud, Frédéric;";Archit. Defin. Eval;115;;1-16;2013;;SQ1;;;;x;x;x;;;;;;;
