Key;Study Number;Title;Item Type;Publication Year;Author;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Search Query;;;;;;;;;;;;;
F4A4R3UK;S1;Experience with performing architecture tradeoff analysis;conferencePaper;1999;"Kazman, R.; Barbacci, M.; Klein, M.; Jeromy Carriere, S.; Woods, S.G.";Proceedings of the 1999 International Conference on Software Engineering (IEEE Cat. No.99CB37002);;;10.1145/302405.302452;doi.org/10.1145/302405.302452;Software architectures, like complex designs in any field, embody tradeoffs made by the designers. However, these tradeoffs are not always made explicitly by the designers and they may not understand the impacts of their decisions. This paper describes the use of a scenario-based and model-based analysis technique for software architectures-called ATAM-that not only analyzes a software architecture with respect to multiple quality attributes, but explicitly considers the tradeoffs inherent in the design. This is a method aimed at illuminating risks in the architecture through the identification of attribute trends, rather than at precise characterizations of measurable quality attribute values. In this paper, the operationalization of ATAM is illustrated via a specific example in which we analyzed a U.S. Army system for battlefield management.;SQ1;;;;;;;;;;;;;
TL5QJ6WC;S2;Software architecture analysis based on statechart semantics;conferencePaper;2000;"Dias, M.S.; Vieira, M.E.R.";Tenth International Workshop on Software Specification and Design. IWSSD-10 2000;;;10.1109/IWSSD.2000.891134;doi.org/10.1109/IWSSD.2000.891134;High assurance architecture-based and component-based software development relies fundamentally on the quality of the components of which a system is composed and their configuration. Analysis over those components and their integration as a system plays a key role in the software development process. This paper describes an approach to develop and assess architecture and component-based systems based on specifying software architecture augmented by statecharts representing component behavioral specifications. The approach is applied for the C2 style and associated ADL and is supported within a quality-focussed environment, called Argus-I, which assists specification-based analysis and testing at both the component and architecture levels.;SQ1;;;;;;;;;;;;;
7K4LVCKE;S3;A methodology for architectural-level risk assessment using dynamic metrics;conferencePaper;2000;"Yacoub, S.M.; Ammar, H.H.; Robinson, T.";Proceedings 11th International Symposium on Software Reliability Engineering. ISSRE 2000;;;10.1109/ISSRE.2000.885873;doi.org/10.1109/ISSRE.2000.885873;Risk assessment is an essential process of every software risk management plan. Several risk assessment techniques are based on the subjective judgement of domain experts. Subjective risk assessment techniques are human-intensive and error-prone. Risk assessment should be based on product attributes that we can quantitatively measure using product metrics. This paper presents a methodology for risk assessment at the early stages of the development lifecycle, namely the architecture level. We describe a heuristic risk assessment methodology that is based on dynamic metrics obtained from UML specifications. The methodology uses dynamic complexity and dynamic coupling metrics to define complexity factors for the architecture elements (components and connectors). Severity analysis is performed using FMEA (failure mode and effect analysis), as applied to architecture simulation models. We combine severity and complexity factors to develop heuristic risk factors for the architecture components and connectors. Based on component dependency graphs that were developed earlier for reliability analysis, and using analysis scenarios, we develop a risk assessment model and a risk analysis algorithm that aggregates the risk factors of components and connectors to the architectural level. We show how to analyze the overall risk factor of the architecture as the function of the risk factors of its constituting components and connectors. A case study of a pacemaker is used to illustrate the application of the methodology.;SQ1;;;;;;;;;;;;;
5UAEY7ZI;S4;An Empirically-Based Process for Software Architecture Evaluation;journalArticle;2003;"Lindvall, Mikael; Tvedt, Roseanne Tesoriero; Costa, Patricia";Empirical Software Engineering;;1573-7616;10.1023/A:1021772917036;https://doi.org/10.1023/A:1021772917036;Software systems undergo constant change causing the architecture of the system to degenerate over time. Reversing system degeneration takes extra effort and delays the release of the next version. Improved architecture is intangible and does not translate into visible user features that can be marketed. Due to a lack of representative metrics, technical staff has problems arguing that stopping degeneration is indeed necessary and that the effort will result in an improved architecture that will pay off. We believe that architectural metrics would give technical staff better tools to demonstrate that the architecture has improved. This paper defines and uses a set of architectural metrics and outlines a process for analyzing architecture to support such an argument. The paper reports on a case study from a project where we restructured the architecture of an existing client-server system written in Java while adding new functionality. The modules of the existing version of the system were “library-oriented” and had a disorganized communication structure. The new architecture is based on components and utilizes the mediator design pattern. The goal of the study is to evaluate the new architecture from a maintainability perspective. The paper describes our evaluation process, the metrics used, and provides some preliminary results. The architectural evaluation shows that the components of the system are only loosely coupled to each other and that an architectural improvement has occurred from a maintenance perspective. The process used to evaluate the architecture is general and can be reused in other contexts.;SQ1;;;;;;;;;;;;;
UY85SCZ4;S5;Architecture-level modifiability analysis (ALMA);journalArticle;2004;"Bengtsson, PerOlof; Lassing, Nico; Bosch, Jan; van Vliet, Hans";Journal of Systems and Software;;0164-1212;;;;SQ1;;;;;;;;;;;;;
VQY4E58J;S6;A scenario-driven approach for value, risk, and cost analysis in system architecting for innovation;conferencePaper;2004;"Ionita, Mugurel T; America, Pierre; Hammer, Dieter K; Obbink, Henk; Trienekens, Jos JM";;0-7695-2172-X;;10.1109/WICSA.2004.1310709;www.doi.org/10.1109/WICSA.2004.1310709;We present a quantitative method for scenario-driven value, risk, and cost analysis when proposing new system architectures for innovation projects. The method helps to articulate the relative benefits and/or disadvantages of the proposed set of scenarios in the early architecting phases of a new system. It provides the arguments on which to base an informed decision to select the final architectural scenarios for further consideration in the design. In this paper we present a case study in which we applied the proposed method.;SQ1;;;;;;;;;;;;;
B7SGDU4G;S7;ASAAM: aspectual software architecture analysis method;conferencePaper;2004;Tekinerdogan, B.;Proceedings. Fourth Working IEEE/IFIP Conference on Software Architecture (WICSA 2004);;;10.1109/WICSA.2004.1310685;;Software architecture analysis methods aim to predict the quality of a system before it has been developed. In general, the quality of the architecture is validated by analyzing the impact of predefined scenarios on architectural components. Hereby, it is implicitly assumed that an appropriate refactoring of the architecture design can help in coping with critical scenarios and mending the architecture. This paper shows that there are also concerns at the architecture design level which inherently crosscut multiple architectural components, which cannot be localized in one architectural component and which, as such, can not be easily managed by using conventional abstraction mechanisms. We propose the aspectual software architecture analysis method (ASAAM) to explicitly identify and specify these architectural aspects and make them transparent early in the software development life cycle. ASAAM introduces a set of heuristic rules that help to derive architectural aspects and the corresponding tangled architectural components from scenarios. The approach is illustrated for architectural aspect identification in the architecture design of a window management system.;SQ1;;;;;;;;;;;;;
GVDNVQYX;S8;Knowledge centered assessment pattern: an effective tool for assessing safety concerns in software architecture;journalArticle;2004;"Khajenoori, Soheil; Prem, Lorenz; Stevens, Karen; Keng, Ban Seng; Kameli, Nader";Journal of Systems and Software;;0164-1212;10.1016/j.jss.2003.09.018;https://www.sciencedirect.com/science/article/pii/S0164121203002619;In software-based systems, the notion of software failure is magnified if the software in question is a component of a safety critical system. Hence, to ensure a required level of safety, the product must undergo expensive rigorous testing and verification/validation activities. To minimize the cost of quality (COQ) associated with the development of safety critical systems, it becomes imperative that the assessment of intermediate artifacts (e.g., requirement, design documents or models) is done efficiently and effectively to maximize early defect detection and/or defect prevention. However, as a human-centered process, the assessment of software architecture for safety critical systems relies heavily on the experience and knowledge of the assessment team to ensure that the proposed architecture is consistent with the software functional and safety requirements. The knowledge centered assessment pattern (KCAP) acts as effective tool to assist assessment teams by providing key information on what architectural elements should be assessed, why they should to be assessed, and how they should be assessed. Furthermore, the use of KCAP highlights cases where the software architecture has been properly, over, under, or incoherently engineered.;SQ1;;;;;;;;;;;;;
62L6GKJM;S9;Evaluating an embedded software reference architecture-industrial experience report;conferencePaper;2005;"Graaf, Bas; Van Dijk, Hylke; Van Deursen, Arie";;0-7695-2304-8;;10.1109/CSMR.2005.28;https://ieeexplore.ieee.org/document/1402153;In this paper, we discuss experiences gained during evaluation of the maintainability of a reference architecture in use at Oce, one of the world's leading copier manufacturers. The evaluation is conducted using an approach based on SEI's software architecture analysis method (SAAM). The paper proposes a variant of SAAM that helps to reduce the organisational impact of architecture evaluations. Second, we analyse the implications of evaluating reference architectures as opposed to single-product architectures. Furthermore, we share our experience of conducting the evaluation, draw lessons for practitioners, and propose new research topics.;SQ1;;;;;;;;;;;;;
T8KHF6JQ;S10;Case studies on analyzing software architectures for usability;conferencePaper;2005;"Folmer, E.; Bosch, J.";31st EUROMICRO Conference on Software Engineering and Advanced Applications;;;10.1109/EUROMICRO.2005.17;;Studies of software engineering projects reveal that a large number of usability related change requests are made after its deployment. Fixing certain usability problems during the later stages of development has proven to be costly, since some of these changes require changes to the software architecture i.e. this often requires large parts of code to be completely rewritten. Explicit evaluation of usability during architectural design may reduce the risk of building a system that fails to meet its usability requirements and may prevent high costs incurring adaptive maintenance activities once the system has been implemented. In this paper, we demonstrate the use of a scenario based architecture analysis technique for usability we developed, at two case studies.;SQ1;;;;;;;;;;;;;
